,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
12472,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,MALAYSIA,20.0,0.0,33,0
12473,EPX,Travel Agency,Online,Cancellation Plan,50,INDONESIA,10.0,0.0,45,0
12474,EPX,Travel Agency,Online,2 way Comprehensive Plan,41,"KOREA, REPUBLIC OF",54.0,0.0,36,0
12475,EPX,Travel Agency,Online,Cancellation Plan,57,INDIA,10.0,0.0,36,0
12476,EPX,Travel Agency,Online,2 way Comprehensive Plan,55,Other,64.0,0.0,36,0
12477,EPX,Travel Agency,Online,Cancellation Plan,7,SINGAPORE,76.0,0.0,36,0
12478,C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,71.0,17.75,26,0
12479,EPX,Travel Agency,Online,2 way Comprehensive Plan,35,PHILIPPINES,38.0,0.0,36,0
12481,EPX,Travel Agency,Online,2 way Comprehensive Plan,64,CANADA,0.0,0.0,67,0
12482,EPX,Travel Agency,Online,Cancellation Plan,17,CHINA,12.0,0.0,36,0
12483,EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,10.0,0.0,51,0
12484,EPX,Travel Agency,Online,2 way Comprehensive Plan,52,THAILAND,28.0,0.0,36,0
12485,JZI,Airlines,Online,Basic Plan,33,HONG KONG,26.0,9.1,59,0
12486,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,MALAYSIA,32.0,0.0,36,0
12487,EPX,Travel Agency,Online,2 way Comprehensive Plan,8,THAILAND,23.0,0.0,45,0
12488,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,GERMANY,112.0,0.0,36,0
12489,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,MALAYSIA,29.7,17.82,31,0
12490,EPX,Travel Agency,Online,2 way Comprehensive Plan,84,THAILAND,20.0,0.0,28,0
12492,EPX,Travel Agency,Online,Cancellation Plan,112,CAMBODIA,15.0,0.0,36,0
12493,EPX,Travel Agency,Online,Cancellation Plan,28,INDONESIA,13.0,0.0,36,0
12494,EPX,Travel Agency,Online,Cancellation Plan,46,THAILAND,25.0,0.0,36,0
12495,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,40.0,10.0,28,0
12497,EPX,Travel Agency,Online,2 way Comprehensive Plan,16,MALAYSIA,37.0,0.0,51,0
12498,C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,26.5,6.63,27,0
12499,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,SINGAPORE,9.9,5.94,31,0
12500,C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,60.0,15.0,21,0
12501,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,HONG KONG,24.0,0.0,67,0
12502,EPX,Travel Agency,Online,Cancellation Plan,46,HONG KONG,14.0,0.0,54,0
12503,EPX,Travel Agency,Online,Cancellation Plan,230,MALAYSIA,39.0,0.0,26,0
12504,EPX,Travel Agency,Online,2 way Comprehensive Plan,79,CHINA,21.0,0.0,36,0
12505,C2B,Airlines,Online,Silver Plan,10,SINGAPORE,39.0,9.75,47,0
12507,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,INDONESIA,20.0,0.0,59,0
12508,EPX,Travel Agency,Online,2 way Comprehensive Plan,159,PHILIPPINES,20.0,0.0,36,0
12509,EPX,Travel Agency,Online,2 way Comprehensive Plan,63,JAPAN,54.0,0.0,36,0
12510,EPX,Travel Agency,Online,2 way Comprehensive Plan,120,JAPAN,36.0,0.0,36,0
12511,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,AUSTRALIA,79.2,47.52,41,0
12512,JZI,Airlines,Online,Basic Plan,39,CHINA,35.0,12.25,28,0
12513,C2B,Airlines,Online,Silver Plan,81,SINGAPORE,76.0,19.0,27,0
12514,EPX,Travel Agency,Online,Cancellation Plan,31,"KOREA, REPUBLIC OF",53.0,0.0,30,0
12515,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,CHINA,30.0,0.0,36,0
12516,EPX,Travel Agency,Online,1 way Comprehensive Plan,17,UNITED STATES,29.0,0.0,55,0
12517,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,THAILAND,19.8,11.88,58,0
12518,EPX,Travel Agency,Online,2 way Comprehensive Plan,89,UNITED STATES,112.0,0.0,42,0
12520,JZI,Airlines,Online,Basic Plan,22,HONG KONG,26.0,9.1,45,0
12521,EPX,Travel Agency,Online,Cancellation Plan,103,SINGAPORE,23.0,0.0,31,0
12522,SSI,Airlines,Online,Ticket Protector,10,SINGAPORE,0.81,0.23,48,0
12524,EPX,Travel Agency,Online,Cancellation Plan,48,LAO PEOPLE'S DEMOCRATIC REPUBLIC,18.0,0.0,36,0
12525,C2B,Airlines,Online,Silver Plan,10,SINGAPORE,43.55,10.89,45,1
12526,SSI,Airlines,Online,Ticket Protector,1,SINGAPORE,0.48,0.14,48,0
12527,EPX,Travel Agency,Online,2 way Comprehensive Plan,57,JAPAN,44.0,0.0,21,0
12528,EPX,Travel Agency,Online,Cancellation Plan,16,SINGAPORE,16.0,0.0,36,0
12529,EPX,Travel Agency,Online,Cancellation Plan,33,JAPAN,80.0,0.0,35,0
12530,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,64,SWITZERLAND,69.3,41.58,31,0
12531,EPX,Travel Agency,Online,Cancellation Plan,27,SINGAPORE,16.0,0.0,36,0
12532,EPX,Travel Agency,Online,Cancellation Plan,3,CHINA,11.0,0.0,35,0
12533,TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30.0,10.5,81,0
12534,C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,101.0,25.25,24,0
12535,EPX,Travel Agency,Online,Cancellation Plan,5,GERMANY,37.0,0.0,36,0
12536,EPX,Travel Agency,Offline,2 way Comprehensive Plan,3,HONG KONG,51.0,0.0,32,0
12537,C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,13.5,3.38,37,0
12538,EPX,Travel Agency,Online,2 way Comprehensive Plan,2,SINGAPORE,66.0,0.0,36,0
12539,C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,80.0,20.0,38,0
12540,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,AUSTRALIA,52.0,0.0,36,0
12541,C2B,Airlines,Online,Silver Plan,19,SINGAPORE,60.75,15.19,35,0
12542,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,INDONESIA,29.0,0.0,36,0
12543,EPX,Travel Agency,Online,Cancellation Plan,86,INDONESIA,19.0,0.0,27,0
12544,EPX,Travel Agency,Online,1 way Comprehensive Plan,12,SINGAPORE,45.0,0.0,27,0
12545,RAB,Airlines,Online,Value Plan,115,BRUNEI DARUSSALAM,23.0,9.2,30,0
12546,JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,26,0
12547,EPX,Travel Agency,Online,Cancellation Plan,19,HONG KONG,10.0,0.0,54,0
12548,EPX,Travel Agency,Online,Cancellation Plan,8,MALAYSIA,10.0,0.0,23,0
12549,EPX,Travel Agency,Online,Cancellation Plan,44,Other,61.0,0.0,36,0
12550,JZI,Airlines,Online,Basic Plan,10,SRI LANKA,22.0,7.7,59,0
12551,C2B,Airlines,Online,Silver Plan,45,SINGAPORE,41.5,10.38,43,0
12553,EPX,Travel Agency,Online,2 way Comprehensive Plan,71,MALAYSIA,20.0,0.0,36,0
12554,EPX,Travel Agency,Online,Cancellation Plan,2,INDONESIA,20.0,0.0,36,0
12555,C2B,Airlines,Online,Silver Plan,12,SINGAPORE,47.5,11.88,30,0
12556,JZI,Airlines,Online,Basic Plan,78,SRI LANKA,40.0,14.0,51,0
12557,EPX,Travel Agency,Online,2 way Comprehensive Plan,49,CAMBODIA,78.0,0.0,36,0
12558,EPX,Travel Agency,Online,Cancellation Plan,14,VIET NAM,15.0,0.0,36,0
12560,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,128,AUSTRALIA,0.0,53.46,48,0
12561,EPX,Travel Agency,Online,Cancellation Plan,14,CANADA,35.0,0.0,26,0
12562,EPX,Travel Agency,Online,Cancellation Plan,1,MALAYSIA,13.0,0.0,36,0
12563,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,30,AUSTRALIA,69.3,41.58,56,0
12565,EPX,Travel Agency,Online,Cancellation Plan,17,INDIA,80.0,0.0,36,0
12566,C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,35,0
12567,EPX,Travel Agency,Online,2 way Comprehensive Plan,42,THAILAND,20.0,0.0,34,0
12568,JZI,Airlines,Online,Basic Plan,12,THAILAND,22.0,7.7,52,0
12569,EPX,Travel Agency,Online,Cancellation Plan,20,SINGAPORE,12.0,0.0,50,0
12570,EPX,Travel Agency,Online,Cancellation Plan,31,ISRAEL,80.0,0.0,36,0
12573,EPX,Travel Agency,Online,Cancellation Plan,19,SINGAPORE,12.0,0.0,36,0
12574,SSI,Airlines,Online,Ticket Protector,44,SINGAPORE,2.76,0.77,48,0
12575,EPX,Travel Agency,Online,Cancellation Plan,36,HONG KONG,24.0,0.0,36,0
12576,RAB,Airlines,Online,Value Plan,34,BRUNEI DARUSSALAM,31.0,12.4,30,0
12577,C2B,Airlines,Online,Annual Silver Plan,376,SINGAPORE,252.85,63.21,47,0
12578,EPX,Travel Agency,Online,Cancellation Plan,43,THAILAND,10.0,0.0,23,0
12579,C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,35,0
12580,EPX,Travel Agency,Online,1 way Comprehensive Plan,1,MYANMAR,20.0,0.0,36,0
12581,EPX,Travel Agency,Online,Cancellation Plan,22,MALAYSIA,10.0,0.0,43,0
12582,EPX,Travel Agency,Online,Cancellation Plan,35,THAILAND,18.0,0.0,30,0
12583,C2B,Airlines,Online,Bronze Plan,46,SINGAPORE,65.65,16.41,25,1
12584,EPX,Travel Agency,Online,2 way Comprehensive Plan,18,THAILAND,24.0,0.0,25,0
12585,EPX,Travel Agency,Online,Cancellation Plan,34,MALAYSIA,10.0,0.0,36,0
12586,EPX,Travel Agency,Online,Cancellation Plan,26,THAILAND,10.0,0.0,35,0
12587,C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,11.5,2.88,37,0
12589,EPX,Travel Agency,Online,Cancellation Plan,184,MALAYSIA,10.0,0.0,36,0
12590,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,UNITED KINGDOM,39.6,23.76,37,0
12591,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,MALAYSIA,20.0,0.0,32,0
12592,EPX,Travel Agency,Online,2 way Comprehensive Plan,277,THAILAND,24.0,0.0,36,0
12593,EPX,Travel Agency,Online,2 way Comprehensive Plan,86,CHINA,20.0,0.0,36,0
12594,EPX,Travel Agency,Online,2 way Comprehensive Plan,11,VIET NAM,21.0,0.0,36,0
12595,EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,35.0,0.0,46,0
12596,JZI,Airlines,Online,Basic Plan,7,THAILAND,18.0,6.3,48,0
12597,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,JAPAN,39.6,23.76,60,0
12598,C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,60.0,15.0,30,0
12599,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,PHILIPPINES,31.0,0.0,36,0
12600,EPX,Travel Agency,Online,1 way Comprehensive Plan,32,MALAYSIA,20.0,0.0,38,0
12602,EPX,Travel Agency,Online,Cancellation Plan,297,PHILIPPINES,40.0,0.0,36,0
12603,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,27.0,6.75,29,1
12605,C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,24,0
12606,EPX,Travel Agency,Online,Cancellation Plan,19,JAPAN,0.0,0.0,36,0
12607,EPX,Travel Agency,Online,Cancellation Plan,16,INDONESIA,29.0,0.0,33,0
12608,EPX,Travel Agency,Online,Cancellation Plan,27,MALAYSIA,10.0,0.0,34,0
12609,C2B,Airlines,Online,Silver Plan,5,SINGAPORE,27.75,6.94,27,0
12610,EPX,Travel Agency,Online,Cancellation Plan,19,Other,80.0,0.0,36,0
12611,EPX,Travel Agency,Online,2 way Comprehensive Plan,40,GERMANY,0.0,0.0,36,0
12612,EPX,Travel Agency,Online,Cancellation Plan,2,THAILAND,10.0,0.0,48,0
12613,C2B,Airlines,Online,Gold Plan,14,SINGAPORE,88.0,22.0,18,0
12614,EPX,Travel Agency,Online,Cancellation Plan,62,Other,80.0,0.0,36,0
12615,C2B,Airlines,Online,Gold Plan,6,SINGAPORE,76.5,19.13,32,0
12616,EPX,Travel Agency,Online,Cancellation Plan,6,FRANCE,43.0,0.0,36,1
12617,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,85,ITALY,39.6,23.76,40,0
12618,C2B,Airlines,Online,Annual Silver Plan,389,SINGAPORE,252.85,63.21,48,0
12619,EPX,Travel Agency,Online,Cancellation Plan,96,INDONESIA,14.0,0.0,27,0
12620,EPX,Travel Agency,Online,2 way Comprehensive Plan,85,MALAYSIA,20.0,0.0,37,0
12621,EPX,Travel Agency,Online,Cancellation Plan,24,HONG KONG,27.0,0.0,36,0
12622,EPX,Travel Agency,Online,Cancellation Plan,7,CHINA,10.0,0.0,36,0
12623,C2B,Airlines,Online,Gold Plan,14,SINGAPORE,105.6,26.4,25,0
12624,EPX,Travel Agency,Online,Cancellation Plan,3,THAILAND,10.0,0.0,28,0
12625,JZI,Airlines,Online,Basic Plan,24,THAILAND,18.0,6.3,43,0
12626,EPX,Travel Agency,Online,Cancellation Plan,10,AUSTRALIA,35.0,0.0,36,0
12627,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,188,CANADA,19.8,11.88,32,0
12628,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,SINGAPORE,25.0,0.0,36,0
12629,EPX,Travel Agency,Online,Cancellation Plan,9,THAILAND,11.0,0.0,36,0
12630,EPX,Travel Agency,Online,Cancellation Plan,229,CAMBODIA,80.0,0.0,36,0
12632,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,15,SOUTH AFRICA,49.5,29.7,33,0
12633,C2B,Airlines,Online,Silver Plan,14,SINGAPORE,62.0,15.5,26,1
12634,EPX,Travel Agency,Online,Cancellation Plan,9,INDIA,10.0,0.0,36,0
12635,EPX,Travel Agency,Online,Cancellation Plan,31,INDIA,80.0,0.0,36,0
12636,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,70.85,17.71,46,0
12637,EPX,Travel Agency,Online,Cancellation Plan,6,CHINA,55.0,0.0,36,0
12638,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,275,JAPAN,0.0,47.52,48,0
12639,EPX,Travel Agency,Online,Cancellation Plan,71,CHINA,25.0,0.0,36,0
12640,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,7,AUSTRALIA,59.4,35.64,28,0
12641,EPX,Travel Agency,Online,1 way Comprehensive Plan,10,THAILAND,20.0,0.0,36,0
12642,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,MALAYSIA,49.5,29.7,25,0
12643,EPX,Travel Agency,Online,Cancellation Plan,31,"TAIWAN, PROVINCE OF CHINA",10.0,0.0,21,0
12644,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,SINGAPORE,112.0,0.0,36,0
12645,EPX,Travel Agency,Online,2 way Comprehensive Plan,59,UNITED STATES,112.0,0.0,30,0
12646,EPX,Travel Agency,Online,2 way Comprehensive Plan,14,MYANMAR,27.0,0.0,36,0
12647,EPX,Travel Agency,Online,Cancellation Plan,19,JAPAN,60.0,0.0,36,0
12648,EPX,Travel Agency,Online,Cancellation Plan,1,MALAYSIA,12.0,0.0,35,0
12649,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,72,UNITED KINGDOM,79.2,47.52,29,0
12650,JZI,Airlines,Online,Basic Plan,6,THAILAND,18.0,6.3,46,0
12651,C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,107.0,26.75,45,0
12652,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,134,CANADA,79.2,47.52,62,0
12653,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,THAILAND,29.7,17.82,56,0
12654,EPX,Travel Agency,Online,Cancellation Plan,15,"KOREA, REPUBLIC OF",59.0,0.0,36,0
12655,EPX,Travel Agency,Online,2 way Comprehensive Plan,264,PHILIPPINES,26.0,0.0,36,0
12656,C2B,Airlines,Online,Silver Plan,12,SINGAPORE,18.5,4.63,38,0
12657,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,11,AUSTRALIA,49.5,29.7,42,0
12658,EPX,Travel Agency,Online,1 way Comprehensive Plan,12,MALAYSIA,20.0,0.0,58,0
12659,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,AUSTRALIA,0.0,17.82,38,0
12660,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,30.55,7.64,30,0
12661,EPX,Travel Agency,Online,Cancellation Plan,16,BANGLADESH,12.0,0.0,36,0
12662,JZI,Airlines,Online,Basic Plan,39,THAILAND,22.0,7.7,36,0
12663,JZI,Airlines,Online,Basic Plan,166,CHINA,40.0,14.0,26,0
12664,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,77,JAPAN,59.4,35.64,31,0
12665,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,UNITED ARAB EMIRATES,49.5,29.7,53,0
12667,C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,23.0,5.75,25,0
12670,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,57,AUSTRALIA,69.3,41.58,38,0
12671,C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,77.0,19.25,34,0
12672,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,19.8,11.88,45,0
12673,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,62,ITALY,0.0,71.28,46,0
12675,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,THAILAND,26.0,0.0,35,0
12676,EPX,Travel Agency,Online,Cancellation Plan,69,AUSTRALIA,27.0,0.0,36,0
12677,C2B,Airlines,Online,Silver Plan,88,SINGAPORE,72.0,18.0,31,0
12678,EPX,Travel Agency,Online,2 way Comprehensive Plan,6,SINGAPORE,42.0,0.0,29,0
12679,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,JAPAN,70.0,0.0,36,0
12681,EPX,Travel Agency,Online,Cancellation Plan,9,SINGAPORE,80.0,0.0,36,0
12682,EPX,Travel Agency,Online,Cancellation Plan,16,HONG KONG,0.0,0.0,36,0
12683,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,127,NETHERLANDS,0.0,5.94,31,0
12684,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,80,AUSTRALIA,29.7,17.82,28,0
12685,EPX,Travel Agency,Online,1 way Comprehensive Plan,178,SINGAPORE,20.0,0.0,25,0
12686,EPX,Travel Agency,Online,2 way Comprehensive Plan,259,CZECH REPUBLIC,0.0,0.0,36,0
12687,EPX,Travel Agency,Online,Cancellation Plan,88,"KOREA, REPUBLIC OF",36.0,0.0,36,0
12688,JZI,Airlines,Online,Value Plan,62,UNITED KINGDOM,67.0,23.45,55,0
12689,C2B,Airlines,Online,Silver Plan,13,SINGAPORE,29.0,7.25,52,0
12691,EPX,Travel Agency,Online,1 way Comprehensive Plan,61,CHINA,20.0,0.0,21,0
12692,EPX,Travel Agency,Online,Cancellation Plan,24,CHINA,49.0,0.0,36,0
12693,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,MALAYSIA,20.0,0.0,34,0
12694,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10.0,0.0,53,0
12695,C2B,Airlines,Online,Silver Plan,7,SINGAPORE,32.5,8.13,39,0
12696,C2B,Airlines,Online,Annual Silver Plan,422,SINGAPORE,259.2,64.8,55,0
12697,SSI,Airlines,Online,Ticket Protector,280,SINGAPORE,0.19,0.05,48,0
12698,EPX,Travel Agency,Online,2 way Comprehensive Plan,36,THAILAND,23.0,0.0,36,0
12699,EPX,Travel Agency,Online,Cancellation Plan,24,CAMBODIA,15.0,0.0,36,0
12700,EPX,Travel Agency,Online,Cancellation Plan,54,UNITED STATES,16.0,0.0,23,0
12701,EPX,Travel Agency,Online,Cancellation Plan,17,AUSTRALIA,80.0,0.0,36,0
12702,EPX,Travel Agency,Online,2 way Comprehensive Plan,139,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,27,0
12703,JZI,Airlines,Online,Basic Plan,16,HONG KONG,35.0,12.25,55,0
12704,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,THAILAND,25.0,0.0,65,0
12705,EPX,Travel Agency,Online,Cancellation Plan,1,INDONESIA,10.0,0.0,34,0
12706,EPX,Travel Agency,Online,Cancellation Plan,5,CHINA,23.0,0.0,36,0
12707,C2B,Airlines,Online,Silver Plan,11,SINGAPORE,58.2,14.55,29,0
12708,EPX,Travel Agency,Online,Cancellation Plan,7,"KOREA, REPUBLIC OF",80.0,0.0,36,0
12709,EPX,Travel Agency,Online,Cancellation Plan,26,"TAIWAN, PROVINCE OF CHINA",15.0,0.0,40,0
12710,EPX,Travel Agency,Online,Cancellation Plan,21,SINGAPORE,35.0,0.0,36,0
12711,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,23.4,5.85,59,0
12712,EPX,Travel Agency,Online,Cancellation Plan,23,HONG KONG,23.0,0.0,36,0
12713,JZI,Airlines,Online,Basic Plan,7,INDIA,35.0,12.25,58,0
12714,JZI,Airlines,Online,Value Plan,9,CHINA,58.0,20.3,54,0
12715,EPX,Travel Agency,Online,Cancellation Plan,55,UNITED STATES,80.0,0.0,27,1
12716,JZI,Airlines,Online,Value Plan,23,ITALY,125.0,43.75,28,0
12717,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,MALAYSIA,20.0,0.0,36,0
12719,EPX,Travel Agency,Online,Cancellation Plan,32,VIET NAM,13.0,0.0,35,0
12720,EPX,Travel Agency,Online,2 way Comprehensive Plan,39,CHINA,31.0,0.0,36,0
12721,LWC,Travel Agency,Online,Single Trip Travel Protect Silver,8,"TAIWAN, PROVINCE OF CHINA",25.0,16.25,35,0
12722,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,SOUTH AFRICA,29.7,17.82,34,0
12723,JZI,Airlines,Online,Basic Plan,35,CHINA,50.0,17.5,47,0
12724,EPX,Travel Agency,Online,2 way Comprehensive Plan,120,TURKEY,99.0,0.0,36,0
12726,EPX,Travel Agency,Online,2 way Comprehensive Plan,28,PORTUGAL,103.0,0.0,36,0
12727,EPX,Travel Agency,Online,Cancellation Plan,36,VIET NAM,10.0,0.0,68,0
12728,JZI,Airlines,Online,Basic Plan,11,CHINA,35.0,12.25,27,0
12729,EPX,Travel Agency,Online,Cancellation Plan,27,GERMANY,20.0,0.0,36,0
12730,EPX,Travel Agency,Online,Cancellation Plan,12,ISRAEL,76.0,0.0,36,0
12731,EPX,Travel Agency,Online,Cancellation Plan,70,HONG KONG,10.0,0.0,32,0
12733,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,HONG KONG,49.0,0.0,35,0
12734,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,21.0,5.25,52,0
12735,EPX,Travel Agency,Online,Cancellation Plan,44,PHILIPPINES,10.0,0.0,31,0
12736,EPX,Travel Agency,Online,2 way Comprehensive Plan,7,THAILAND,24.0,0.0,36,0
12737,C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,22.1,5.53,46,0
12738,KML,Travel Agency,Online,Premier Plan,52,UNITED KINGDOM,158.0,60.04,48,0
12739,EPX,Travel Agency,Online,2 way Comprehensive Plan,29,JAPAN,49.0,0.0,36,0
12740,ART,Airlines,Online,24 Protect,5,SINGAPORE,4.7,1.65,48,0
12741,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,69,UNITED KINGDOM,0.0,53.46,52,0
12742,EPX,Travel Agency,Online,Cancellation Plan,28,PHILIPPINES,11.0,0.0,36,0
12743,SSI,Airlines,Online,Ticket Protector,14,SINGAPORE,21.35,5.98,48,0
12744,EPX,Travel Agency,Online,2 way Comprehensive Plan,21,MALAYSIA,20.0,0.0,61,0
12745,EPX,Travel Agency,Online,2 way Comprehensive Plan,101,INDONESIA,23.0,0.0,36,0
12746,C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,216.0,54.0,51,0
12747,EPX,Travel Agency,Online,Cancellation Plan,104,UNITED STATES,80.0,0.0,65,0
12749,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,51,NORWAY,69.3,41.58,22,0
12750,EPX,Travel Agency,Online,2 way Comprehensive Plan,25,PHILIPPINES,22.0,0.0,36,0
12751,JZI,Airlines,Online,Basic Plan,24,INDONESIA,18.0,6.3,57,0
12752,EPX,Travel Agency,Online,Cancellation Plan,21,PHILIPPINES,10.0,0.0,21,0
12753,RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,0.0,6.0,28,0
12754,EPX,Travel Agency,Online,1 way Comprehensive Plan,6,MALAYSIA,20.0,0.0,56,0
12755,EPX,Travel Agency,Online,Cancellation Plan,49,UNITED STATES,0.0,0.0,34,0
12756,C2B,Airlines,Online,Silver Plan,83,SINGAPORE,76.3,19.07,39,0
12757,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,76,AUSTRALIA,128.7,77.22,65,0
12758,EPX,Travel Agency,Online,2 way Comprehensive Plan,85,JAPAN,52.0,0.0,36,0
12759,JZI,Airlines,Online,Basic Plan,42,SRI LANKA,50.0,17.5,35,0
12760,EPX,Travel Agency,Online,2 way Comprehensive Plan,22,UNITED STATES,29.0,0.0,55,0
12761,C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,139.0,34.75,27,0
12762,EPX,Travel Agency,Online,2 way Comprehensive Plan,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37.0,0.0,36,0
12763,C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,16.0,4.0,19,0
12764,C2B,Airlines,Online,Gold Plan,51,SINGAPORE,142.5,35.63,45,0
12765,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,91,ITALY,49.5,29.7,47,0
12766,C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,11.5,2.88,59,0
12767,EPX,Travel Agency,Online,Cancellation Plan,41,"KOREA, REPUBLIC OF",10.0,0.0,22,0
12768,C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,14.95,3.74,30,0
12769,EPX,Travel Agency,Online,Cancellation Plan,85,INDONESIA,10.0,0.0,29,0
12770,EPX,Travel Agency,Online,Cancellation Plan,140,SINGAPORE,10.0,0.0,36,0
12771,EPX,Travel Agency,Online,Cancellation Plan,1,CHINA,22.0,0.0,36,0
12772,EPX,Travel Agency,Online,2 way Comprehensive Plan,19,AUSTRALIA,76.0,0.0,36,0
12773,C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,22.1,5.53,26,1
12774,JZI,Airlines,Online,Basic Plan,40,THAILAND,22.0,7.7,32,0
12775,EPX,Travel Agency,Online,Cancellation Plan,40,TURKEY,51.0,0.0,36,0
12776,EPX,Travel Agency,Online,2 way Comprehensive Plan,56,MALAYSIA,112.0,0.0,36,0
12777,EPX,Travel Agency,Online,2 way Comprehensive Plan,78,JAPAN,56.0,0.0,28,0
12778,EPX,Travel Agency,Online,2 way Comprehensive Plan,27,PHILIPPINES,22.0,0.0,36,0
12779,EPX,Travel Agency,Online,1 way Comprehensive Plan,3,UNITED ARAB EMIRATES,0.0,0.0,36,0
12780,EPX,Travel Agency,Online,Cancellation Plan,2,CAMBODIA,10.0,0.0,44,0
12781,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,114,IRELAND,29.7,17.82,33,0
